"slug","destination","floor_tier","stage","source"
"canada/alberta/calgary/beltline","Beltline, Calgary, Alberta, Canada","high","1","priority_csv"
"canada/alberta/calgary/downtown-calgary","Downtown Calgary, Calgary, Alberta, Canada","high","1","priority_csv"
"canada/alberta/calgary/eau-claire","Eau Claire, Calgary, Alberta, Canada","high","1","priority_csv"
"canada/alberta/calgary/mission-district","Mission, Calgary, Alberta, Canada","mid","1","priority_csv"
"canada/alberta/edmonton/downtown-edmonton","Downtown, Edmonton, Alberta, Canada","high","1","priority_csv"
"canada/british-columbia/vancouver/coal-harbour","Coal Harbour, Vancouver, British Columbia, Canada","high","1","priority_csv"
"canada/british-columbia/vancouver/downtown-vancouver","Downtown, Vancouver, British Columbia, Canada","high","1","priority_csv"
"canada/british-columbia/vancouver/fairview","Fairview, Vancouver, British Columbia, Canada","mid","1","priority_csv"
"canada/british-columbia/vancouver/gastown","Gastown, Vancouver, British Columbia, Canada","mid","1","priority_csv"
"canada/british-columbia/vancouver/olympic-village","Olympic Village, Vancouver, British Columbia, Canada","mid","1","priority_csv"
"canada/british-columbia/vancouver/south-granville","South Granville, Vancouver, British Columbia, Canada","mid","1","priority_csv"
"canada/british-columbia/vancouver/west-end","West End, Vancouver, British Columbia, Canada","high","1","priority_csv"
"canada/british-columbia/vancouver/yaletown","Yaletown, Vancouver, British Columbia, Canada","high","1","priority_csv"
"canada/british-columbia/victoria/downtown-victoria","Downtown, Victoria, British Columbia, Canada","mid","1","priority_csv"
"canada/british-columbia/victoria/inner-harbour","Inner Harbour, Victoria, British Columbia, Canada","mid","1","priority_csv"
"canada/manitoba/winnipeg/downtown-winnipeg","Downtown, Winnipeg, Manitoba, Canada","mid","1","priority_csv"
"canada/manitoba/winnipeg/exchange-district","Exchange District, Winnipeg, Manitoba, Canada","mid","1","priority_csv"
"canada/nova-scotia/halifax/downtown-halifax","Downtown Halifax, Halifax, Nova Scotia, Canada","mid","1","priority_csv"
"canada/ontario/london/downtown-london","Downtown, London, Ontario, Canada","mid","1","priority_csv"
"canada/ontario/mississauga/port-credit","Port Credit, Mississauga, Ontario, Canada","mid","1","priority_csv"
"canada/ontario/ottawa/byward-market","ByWard Market, Ottawa, Ontario, Canada","mid","1","priority_csv"
"canada/ontario/ottawa/centretown","Centretown, Ottawa, Ontario, Canada","mid","1","priority_csv"
"canada/ontario/toronto/downtown-toronto","Downtown Markham, Markham, Ontario, Canada","high","1","priority_csv"
"canada/ontario/toronto/humber-bay-shores","Humber Bay Shores, Etobicoke, Ontario, Canada","high","1","priority_csv"
"canada/ontario/toronto/king-west-village","King West, Toronto, Ontario, Canada","high","1","priority_csv"
"canada/ontario/toronto/liberty-village","Liberty Village, Toronto, Ontario, Canada","high","1","priority_csv"
"canada/ontario/toronto/mimico","Mimico, Etobicoke, Ontario, Canada","mid","1","priority_csv"
"canada/ontario/toronto/west-queen-west","Queen West, Toronto, Ontario, Canada","mid","1","priority_csv"
"canada/ontario/toronto/yorkville","Yorkville, Toronto, Ontario, Canada","high","1","priority_csv"
"canada/quebec/laval/centropolis","Centropolis, Laval, Quebec, Canada","mid","1","priority_csv"
"canada/quebec/montreal/downtown-montreal","Downtown, Montreal, Quebec, Canada","high","1","priority_csv"
"canada/quebec/montreal/griffintown","Griffintown, Montreal, Quebec, Canada","high","1","priority_csv"
"canada/quebec/montreal/old-montreal","Old Montreal, Montreal, Quebec, Canada","mid","1","priority_csv"
"canada/quebec/montreal/quartier-des-spectacles","Quartier des Spectacles, Montreal, Quebec, Canada","mid","1","priority_csv"
"canada/quebec/montreal/shaughnessy-village","Le Village, Montreal, Quebec, Canada","mid","1","priority_csv"
"canada/saskatchewan/saskatoon/saskatoon-downtown","Downtown, Saskatoon, Saskatchewan, Canada","mid","1","priority_csv"
"usa/alaska/anchorage/downtown-anchorage","Downtown, Anchorage, Alaska, USA","mid","1","priority_csv"
"usa/alaska/anchorage/midtown-anchorage","Midtown, Anchorage, Alaska, USA","mid","1","priority_csv"
"usa/arizona/phoenix/downtown-phoenix","Downtown Phoenix, Phoenix, Arizona, USA","high","1","priority_csv"
"usa/arizona/phoenix/midtown","Midtown, Phoenix, Arizona, USA","mid","1","priority_csv"
"usa/arizona/tucson/downtown-tucson","Downtown, Tucson, Arizona, USA","mid","1","priority_csv"
"usa/california/bakersfield/downtown","Downtown Bakersfield, Bakersfield, California, USA","mid","1","priority_csv"
"usa/california/fresno/downtown","Downtown Fresno, Fresno, California, USA","mid","1","priority_csv"
"usa/california/long-beach/downtown-long-beach","Downtown Long Beach, Long Beach, California, USA","high","1","priority_csv"
"usa/california/los-angeles/hollywood","Hollywood, Los Angeles, California, USA","mid","1","priority_csv"
"usa/california/los-angeles/koreatown","Koreatown, Los Angeles, California, USA","mid","1","priority_csv"
"usa/california/los-angeles/westwood","Westwood, Los Angeles, California, USA","mid","1","priority_csv"
"usa/california/oakland/downtown-oakland","Downtown Oakland, Oakland, California, USA","high","1","priority_csv"
"usa/california/oakland/uptown-oakland","Uptown, Oakland, California, USA","high","1","priority_csv"
"usa/california/riverside/downtown-riverside","Downtown, Riverside, California, USA","mid","1","priority_csv"
"usa/california/sacramento/downtown-sacramento","Downtown, Sacramento, California, USA","high","1","priority_csv"
"usa/california/san-diego/bankers-hill","Bankers Hill, San Diego, California, USA","mid","1","priority_csv"
"usa/california/san-diego/east-village","East Village, San Diego, California, USA","high","1","priority_csv"
"usa/california/san-diego/gaslamp-quarter","Gaslamp Quarter, San Diego, California, USA","mid","1","priority_csv"
"usa/california/san-diego/little-italy","Little Italy, San Diego, California, USA","high","1","priority_csv"
"usa/california/san-francisco/financial-district","Financial District, San Francisco, California, USA","high","1","priority_csv"
"usa/california/san-francisco/fisherman-s-wharf","Fisherman's Wharf, San Francisco, California, USA","mid","1","priority_csv"
"usa/california/san-francisco/nob-hill","Nob Hill, San Francisco, California, USA","mid","1","priority_csv"
"usa/california/san-francisco/north-beach","North Beach, San Francisco, California, USA","mid","1","priority_csv"
"usa/california/san-francisco/pacific-heights","Pacific Heights, San Francisco, California, USA","mid","1","priority_csv"
"usa/california/san-francisco/russian-hill","Russian Hill, San Francisco, California, USA","mid","1","priority_csv"
"usa/california/san-francisco/union-square","Union Square, San Francisco, California, USA","high","1","priority_csv"
"usa/california/san-jose/downtown-san-jose","Downtown San Jose, San Jose, California, USA","high","1","priority_csv"
"usa/colorado/colorado-springs/downtown-colorado-springs","Downtown, Colorado Springs, Colorado, USA","mid","1","priority_csv"
"usa/colorado/denver/capitol-hill","Capitol Hill, Denver, Colorado, USA","mid","1","priority_csv"
"usa/colorado/denver/cherry-creek","Cherry Creek, Denver, Colorado, USA","mid","1","priority_csv"
"usa/colorado/denver/five-points","Five Points, Denver, Colorado, USA","mid","1","priority_csv"
"usa/colorado/denver/lodo","LoDo, Denver, Colorado, USA","high","1","priority_csv"
"usa/colorado/denver/uptown","Uptown, Denver, Colorado, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/district-wharf","The Wharf, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/dupont-circle","Dupont Circle, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/foggy-bottom","Foggy Bottom, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/logan-circle","Logan Circle, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/navy-yard","Navy Yard, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/penn-quarter","Penn Quarter, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/shaw","Shaw, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/district-of-columbia/washington/u-street-corridor","U Street Corridor, Washington, District of Columbia, USA","mid","1","priority_csv"
"usa/florida/fort-lauderdale/flagler-village","Flagler Village, Fort Lauderdale, Florida, USA","mid","1","priority_csv"
"usa/florida/hollywood/downtown-hollywood","Downtown Hollywood, Hollywood, Florida, USA","mid","1","priority_csv"
"usa/florida/jacksonville/downtown-jacksonville","Downtown, Jacksonville, Florida, USA","high","1","priority_csv"
"usa/florida/miami/brickell","Brickell, Miami, Florida, USA","high","1","priority_csv"
"usa/florida/miami/coconut-grove","Coconut Grove, Miami, Florida, USA","mid","1","priority_csv"
"usa/florida/miami/downtown-miami","Downtown Miami, Miami, Florida, USA","high","1","priority_csv"
"usa/florida/miami/edgewater","Edgewater, Miami, Florida, USA","high","1","priority_csv"
"usa/florida/miami/wynwood-art-district","Wynwood, Miami, Florida, USA","mid","1","priority_csv"
"usa/florida/orlando/downtown-orlando","Downtown Orlando, Orlando, Florida, USA","high","1","priority_csv"
"usa/florida/st-petersburg/downtown-st-petersburg","Downtown St. Petersburg, St. Petersburg, Florida, USA","mid","1","priority_csv"
"usa/florida/tampa/downtown-tampa","Downtown Tampa, Tampa, Florida, USA","high","1","priority_csv"
"usa/georgia/atlanta/buckhead","Buckhead, Atlanta, Georgia, USA","high","1","priority_csv"
"usa/georgia/atlanta/downtown-atlanta","Downtown, Atlanta, Georgia, USA","high","1","priority_csv"
"usa/georgia/atlanta/midtown","Midtown, Atlanta, Georgia, USA","high","1","priority_csv"
"usa/georgia/atlanta/old-fourth-ward","Old Fourth Ward, Atlanta, Georgia, USA","mid","1","priority_csv"
"usa/hawaii/honolulu/ala-moana","Ala Moana, Honolulu, Hawaii, USA","high","1","priority_csv"
"usa/hawaii/honolulu/downtown-honolulu","Downtown, Honolulu, Hawaii, USA","high","1","priority_csv"
"usa/hawaii/honolulu/waikiki","Waikiki, Honolulu, Hawaii, USA","high","1","priority_csv"
"usa/idaho/boise/downtown-boise","Downtown Boise, Boise, Idaho, USA","mid","1","priority_csv"
"usa/illinois/chicago/gold-coast","Gold Coast, Chicago, Illinois, USA","high","1","priority_csv"
"usa/illinois/chicago/lakeview","Lakeview, Chicago, Illinois, USA","mid","1","priority_csv"
"usa/illinois/chicago/lincoln-park","Lincoln Park, Chicago, Illinois, USA","mid","1","priority_csv"
"usa/illinois/chicago/old-town","Old Town, Chicago, Illinois, USA","mid","1","priority_csv"
"usa/illinois/chicago/river-north","River North, Chicago, Illinois, USA","high","1","priority_csv"
"usa/illinois/chicago/streeterville","Streeterville, Chicago, Illinois, USA","high","1","priority_csv"
"usa/illinois/chicago/the-loop","The Loop, Chicago, Illinois, USA","high","1","priority_csv"
"usa/illinois/chicago/west-loop","West Loop, Chicago, Illinois, USA","high","1","priority_csv"
"usa/indiana/indianapolis/downtown-indianapolis","Downtown, Indianapolis, Indiana, USA","high","1","priority_csv"
"usa/iowa/des-moines/historic-east-village","East Village, Des Moines, Iowa, USA","mid","1","priority_csv"
"usa/kansas/wichita/downtown-wichita","Downtown Wichita, Wichita, Kansas, USA","mid","1","priority_csv"
"usa/kentucky/louisville/downtown-louisville","Downtown, Louisville, Kentucky, USA","mid","1","priority_csv"
"usa/louisiana/new-orleans/central-business-district","Central Business District, New Orleans, Louisiana, USA","high","1","priority_csv"
"usa/maryland/baltimore/harbor-east","Harbor East, Baltimore, Maryland, USA","mid","1","priority_csv"
"usa/maryland/baltimore/inner-harbor","Inner Harbor, Baltimore, Maryland, USA","mid","1","priority_csv"
"usa/maryland/baltimore/mount-vernon","Mount Vernon, Baltimore, Maryland, USA","mid","1","priority_csv"
"usa/massachusetts/boston/back-bay","Back Bay, Boston, Massachusetts, USA","mid","1","priority_csv"
"usa/massachusetts/boston/fenway-kenmore","Fenway, Boston, Massachusetts, USA","mid","1","priority_csv"
"usa/massachusetts/boston/north-end","North End, Boston, Massachusetts, USA","mid","1","priority_csv"
"usa/massachusetts/boston/seaport-district","Seaport, Boston, Massachusetts, USA","high","1","priority_csv"
"usa/massachusetts/boston/south-end","South End, Boston, Massachusetts, USA","mid","1","priority_csv"
"usa/michigan/detroit/downtown-detroit","Downtown, Detroit, Michigan, USA","high","1","priority_csv"
"usa/michigan/detroit/midtown","Midtown, Detroit, Michigan, USA","mid","1","priority_csv"
"usa/michigan/detroit/new-center-detroit","New Center, Detroit, Michigan, USA","mid","1","priority_csv"
"usa/minnesota/minneapolis/downtown-minneapolis","Downtown Minneapolis, Minneapolis, Minnesota, USA","high","1","priority_csv"
"usa/minnesota/minneapolis/mill-district","Mill District, Minneapolis, Minnesota, USA","high","1","priority_csv"
"usa/minnesota/minneapolis/uptown","Uptown, Minneapolis, Minnesota, USA","mid","1","priority_csv"
"usa/missouri/kansas-city/crossroads-arts-district","Crossroads Arts District, Kansas City, Missouri, USA","mid","1","priority_csv"
"usa/missouri/kansas-city/downtown-kansas-city","Downtown Kansas City, Kansas City, Missouri, USA","high","1","priority_csv"
"usa/missouri/kansas-city/power-and-light-district","Power and Light District, Kansas City, Missouri, USA","high","1","priority_csv"
"usa/missouri/kansas-city/river-market","River Market, Kansas City, Missouri, USA","mid","1","priority_csv"
"usa/missouri/st-louis/central-west-end","Central West End, St. Louis, Missouri, USA","mid","1","priority_csv"
"usa/missouri/st-louis/downtown-st-louis","Downtown St. Louis, St. Louis, Missouri, USA","high","1","priority_csv"
"usa/nebraska/lincoln/downtown-lincoln","Downtown, Lincoln, Nebraska, USA","mid","1","priority_csv"
"usa/nebraska/omaha/downtown-omaha","Downtown Omaha, Omaha, Nebraska, USA","high","1","priority_csv"
"usa/nebraska/omaha/old-market","Old Market, Omaha, Nebraska, USA","mid","1","priority_csv"
"usa/nevada/las-vegas/las-vegas-strip","The Strip, Las Vegas, Nevada, USA","high","1","priority_csv"
"usa/nevada/reno/downtown-reno","Downtown, Reno, Nevada, USA","high","1","priority_csv"
