"city","country","country_code","neighborhood","why_fit","confidence","lat","lng","anchor_spot","places_query","geocode_status","location_id","display_slug","internal_location_type","image_name_id","image_name_slug","matched_via","geo_distance_km","match_status"
"Kabul","Afghanistan","AF","Shahr-e Naw","Central commercial shopping area","medium","34.5331056","69.1682093","Shahr-e Naw Park","Shahr-e Naw Park, Shahr-e Naw, Kabul, Afghanistan","ok","","","","","","","","unresolved"
"Kabul","Afghanistan","AF","Wazir Akbar Khan","Affluent embassy diplomatic district","medium","34.5357075","69.1905501","Embassy of the United States, Wazir Akbar Khan","Embassy of the United States, Wazir Akbar Khan, Kabul, Afghanistan","ok","","","","","","","","unresolved"
"Herāt","Afghanistan","AF","city center","central commercial area","low","34.3459994","62.1884571","Herat Citadel","Herat Citadel, city center, Herāt, Afghanistan","ok","","","","","","","","unresolved"
"Jalālābād","Afghanistan","AF","City Centre","Central urban district","low","34.5313207","69.1691931","Jalalabad Clock Tower","Jalalabad Clock Tower, City Centre, Jalālābād, Afghanistan","ok","","","","","","","","unresolved"
"Tirana","Albania","AL","Blloku","Trendy upscale cafe nightlife","high","41.3179435","19.8212957","Blloku Square","Blloku Square, Blloku, Tirana, Albania","ok","553248635976395730","albania/tirana-county/tirana/blloku","neighborhood","553248635976395730.jpg","albania/tirana-county/tirana/blloku.jpg","seed:albania/tirana-county/tirana/blloku","0.4","resolved"
"Tirana","Albania","AL","City Center (Skanderbeg)","Central walkable cultural core","high","41.3307478","19.819233","Skanderbeg Square","Skanderbeg Square, City Center (Skanderbeg), Tirana, Albania","ok","","","","","","","","unresolved"
"Algiers","Algeria","DZ","Algiers Centre","central business historic core","medium","36.7850182","3.0608303","Ketchaoua Mosque","Ketchaoua Mosque, Algiers Centre, Algiers, Algeria","ok","","","","","","","","unresolved"
"Algiers","Algeria","DZ","Hydra","affluent upscale residential district","medium","36.7465487","3.0412011","Hydra Mosque","Hydra Mosque, Hydra, Algiers, Algeria","ok","553248635975857943","algeria/algiers/hydra","neighborhood","553248635975857943.jpg","algeria/algiers/hydra.jpg","city-slug:algeria/algiers/hydra","1.5","resolved"
"Algiers","Algeria","DZ","Sidi Yahia","trendy upscale commercial area","low","16.7723346","-3.0072304","Sidi Yahia Mosque","Sidi Yahia Mosque, Sidi Yahia, Algiers, Algeria","ok","","","","","","","","unresolved"
"Oran","Algeria","DZ","Centre-ville","Central business commercial district","medium","35.7035198","-0.6485293","Place du 1er Novembre","Place du 1er Novembre, Centre-ville, Oran, Algeria","ok","","","","","","","","unresolved"
"Oran","Algeria","DZ","Sidi El Houari","Historic central quarter","medium","35.7046096","-0.6542336","Sidi El Houari Mosque","Sidi El Houari Mosque, Sidi El Houari, Oran, Algeria","ok","","","","","","","","unresolved"
"Constantine","Algeria","DZ","Centre-Ville","historic central old city","medium","36.3689597","6.6184815","El Kantara Bridge","El Kantara Bridge, Centre-Ville, Constantine, Algeria","ok","","","","","","","","unresolved"
"Annaba","Algeria","DZ","City Centre","Central walkable downtown","low","36.881805","7.744749","Annaba Cathedral","Annaba Cathedral, City Centre, Annaba, Algeria","ok","","","","","","","","unresolved"
"Annaba","Algeria","DZ","Cours de la Revolution","Main pedestrian cultural promenade","low","36.8994832","7.7601215","Cours de la Revolution Promenade","Cours de la Revolution, Cours de la Revolution, Annaba, Algeria","ok","","","","","","","","unresolved"
"Blida","Algeria","DZ","City Center","central commercial district","low","36.4687627","2.8293576","Blida Central Mosque","Blida Central Mosque, City Center, Blida, Algeria","ok","","","","","","","","unresolved"
"Batna City","Algeria","DZ","Centre-ville","central commercial district","low","35.5322903","6.186013","Batna Central Market","Batna Central Market, Centre-ville, Batna City, Algeria","ok","","","","","","","","unresolved"
"Bab Ezzouar","Algeria","DZ","City Centre","Business and university hub","low","36.7130857","3.1792837","Bab Ezzouar University","Bab Ezzouar University, City Centre, Bab Ezzouar, Algeria","ok","","","","","","","","unresolved"
"Djelfa","Algeria","DZ","City Center","central commercial area","low","34.6768519","3.251237","Djelfa Central Mosque","Djelfa Central Mosque, City Center, Djelfa, Algeria","ok","","","","","","","","unresolved"
"Sétif","Algeria","DZ","Centre-ville","central walkable commercial area","medium","36.1907584","5.410233","Sétif Central Square","Sétif Central Square, Centre-ville, Sétif, Algeria","ok","","","","","","","","unresolved"
"Luanda","Angola","AO","Baixa","central business historic core","medium","-8.8083294","13.2234282","Fortaleza de São Miguel","Fortaleza de São Miguel, Baixa, Luanda, Angola","ok","","","","","","","","unresolved"
"Luanda","Angola","AO","Ilha do Cabo","upscale waterfront dining strip","medium","-8.9133625","13.3444219","Ilha do Cabo Beach","Ilha do Cabo Beach, Ilha do Cabo, Luanda, Angola","ok","","","","","","","","unresolved"
"Luanda","Angola","AO","Talatona","modern upscale business district","medium","-8.9114527","13.2024688","Talatona Shopping Center","Talatona Shopping Center, Talatona, Luanda, Angola","ok","","","","","","","","unresolved"
"Lubango","Angola","AO","city center","central business district","low","-14.9199161","13.4804419","Lubango Central Market","Lubango Central Market, city center, Lubango, Angola","ok","","","","","","","","unresolved"
"Huambo","Angola","AO","city center","central commercial area","low","-12.7787167","15.7390608","Huambo Central Mosque","Huambo Central Mosque, city center, Huambo, Angola","ok","","","","","","","","unresolved"
"Benguela","Angola","AO","City Center","central colonial coastal core","low","-12.5857756","13.4025807","Benguela Cathedral","Benguela Cathedral, City Center, Benguela, Angola","ok","","","","","","","","unresolved"
"Cabinda","Angola","AO","City Center","central coastal core","low","-5.5629975","12.1796828","Cabinda Central Market","Cabinda Central Market, City Center, Cabinda, Angola","ok","","","","","","","","unresolved"
"Malanje","Angola","AO","City Center","Central commercial district","low","-9.5510016","16.3389538","Malanje Central Mosque","Malanje Central Mosque, City Center, Malanje, Angola","ok","","","","","","","","unresolved"
"Lobito","Angola","AO","Restinga","Coastal peninsula district","medium","-12.3161156","13.5839778","Restinga Beach","Restinga Beach, Restinga, Lobito, Angola","ok","","","","","","","","unresolved"
"Lobito","Angola","AO","City Center","Central commercial area","low","-12.3666273","13.5513818","Lobito Central Market","Lobito Central Market, City Center, Lobito, Angola","ok","","","","","","","","unresolved"
"Cuíto","Angola","AO","City Center","central commercial district","low","-12.395786","16.9378042","Cuíto Central Market","City Center, Cuíto, Angola","ok","","","","","","","","unresolved"
"Uíge","Angola","AO","City Center","central commercial district","low","-8.8396955","13.2367779","Uíge Central Mosque","Uíge Central Mosque, City Center, Uíge, Angola","ok","","","","","","","","unresolved"
"Luena","Angola","AO","City Centre","Central urban district","low","-11.7882041","19.9092702","Luena Central Market","Luena Central Market, City Centre, Luena, Angola","ok","","","","","","","","unresolved"
"Mossamedes","Angola","AO","Centro","colonial coastal center","low","-15.2003797","12.1435215","Mossamedes Cathedral","Centro, Mossamedes, Angola","ok","","","","","","","","unresolved"
"Menongue","Angola","AO","Centro","town center","low","-14.6593731","17.6616173","Menongue Central Square","Menongue Central Square, Centro, Menongue, Angola","ok","","","","","","","","unresolved"
"Buenos Aires","Argentina","AR","Belgrano","Upscale walkable residential area","high","-34.56426","-58.45447","Belgrano R Shopping Center","Belgrano R Shopping Center, Belgrano, Buenos Aires, Argentina","ok","6140918","argentina/buenos-aires/belgrano","neighborhood","6140918.jpg","argentina/buenos-aires/belgrano.jpg","city-slug:argentina/buenos-aires/belgrano","1.3","resolved"
"Buenos Aires","Argentina","AR","Microcentro","Central business district","high","-34.6083667","-58.3722832","Plaza de Mayo","Plaza de Mayo, Microcentro, Buenos Aires, Argentina","ok","553248633981728322","argentina/buenos-aires/microcentro","neighborhood","553248633981728322.jpg","argentina/buenos-aires/microcentro.jpg","city-slug:argentina/buenos-aires/microcentro","0.7","resolved"
"Buenos Aires","Argentina","AR","Palermo","Trendy creative dining hub","high","-34.5887764","-58.4302089","Plaza Serrano","Plaza Serrano, Palermo, Buenos Aires, Argentina","ok","178059","argentina/buenos-aires/palermo","neighborhood","178059.jpg","argentina/buenos-aires/palermo.jpg","seed:argentina/buenos-aires/palermo","2.0","resolved"
"Buenos Aires","Argentina","AR","Puerto Madero","Modern upscale waterfront district","high","-34.6079845","-58.3651612","Puente de la Mujer","Puente de la Mujer, Puerto Madero, Buenos Aires, Argentina","ok","6140917","argentina/buenos-aires/puerto-madero","neighborhood","6140917.jpg","argentina/buenos-aires/puerto-madero.jpg","city-slug:argentina/buenos-aires/puerto-madero","1.1","resolved"
"Buenos Aires","Argentina","AR","Recoleta","Affluent elegant cultural district","high","-34.5873639","-58.3929555","Recoleta Cemetery","Recoleta Cemetery, Recoleta, Buenos Aires, Argentina","ok","6054195","argentina/buenos-aires/recoleta","neighborhood","6054195.jpg","argentina/buenos-aires/recoleta.jpg","seed:argentina/buenos-aires/recoleta","0.4","resolved"
"Buenos Aires","Argentina","AR","San Telmo","Historic bohemian artsy quarter","high","-34.6204914","-58.3717481","Plaza Dorrego","Plaza Dorrego, San Telmo, Buenos Aires, Argentina","ok","178086","argentina/buenos-aires/san-telmo","neighborhood","178086.jpg","argentina/buenos-aires/san-telmo.jpg","seed:argentina/buenos-aires/san-telmo","0.1","resolved"
"Buenos Aires","Argentina","AR","Villa Crespo","Creative emerging trendy area","high","-34.6401855","-58.3798524","Pasaje Lanín","Pasaje Lanín, Villa Crespo, Buenos Aires, Argentina","ok","553248633981728585","argentina/buenos-aires/villa-crespo","neighborhood","553248633981728585.jpg","argentina/buenos-aires/villa-crespo.jpg","city-slug:argentina/buenos-aires/villa-crespo","3.6","resolved"
"Buenos Aires","Argentina","AR","Colegiales","Trendy residential cafe district","medium","-34.5806439","-58.4456115","Plaza Mafalda","Plaza Mafalda, Colegiales, Buenos Aires, Argentina","ok","6225770","argentina/buenos-aires/colegiales","neighborhood","6225770.jpg","argentina/buenos-aires/colegiales.jpg","city-slug:argentina/buenos-aires/colegiales","0.7","resolved"
"Buenos Aires","Argentina","AR","Las Cañitas","Chic dining and nightlife","medium","-34.5748002","-58.4475625","Las Cañitas Polo Club","Las Cañitas, Buenos Aires, Argentina","ok","6182245","argentina/buenos-aires/las-canitas","city","6182245.jpg","argentina/buenos-aires/las-canitas.jpg","seed:argentina/buenos-aires/las-canitas","1.3","resolved"
"Buenos Aires","Argentina","AR","Retiro","Central upscale business district","medium","-34.5922006","-58.3737583","Torre Monumental","Torre Monumental, Retiro, Buenos Aires, Argentina","ok","6159360","argentina/buenos-aires/retiro","neighborhood","6159360.jpg","argentina/buenos-aires/retiro.jpg","city-slug:argentina/buenos-aires/retiro","0.5","resolved"
"Córdoba","Argentina","AR","Centro","Historic walkable urban core","high","-31.4167528","-64.1835619","Plaza San Martín","Plaza San Martín, Centro, Córdoba, Argentina","ok","","","","","","","","unresolved"
