"parent_id","neighborhood","city","destination","poi_name","poi_slug","category","s3_key","ref_photo_reference","ref_attribution","generated_at"
"neighborhoods/ae-fujairah/city-centre","City Centre","Fujairah","City Centre, Fujairah, United Arab Emirates","Sheikh Zayed Grand Mosque","sheikh-zayed-grand-mosque","anchor","images/Neighborhood_POIs/ae-fujairah/city-centre/sheikh-zayed-grand-mosque.png","places-photo","Joseph Ongkeko Delos Reyes (Google Maps contributor)","2026-07-17T21:29:37.513704+00:00"
"neighborhoods/ae-fujairah/city-centre","City Centre","Fujairah","City Centre, Fujairah, United Arab Emirates","Madhab Spring Park","madhab-spring-park","outdoors","images/Neighborhood_POIs/ae-fujairah/city-centre/madhab-spring-park.png","places-photo","AHMED ELBAGES (Google Maps contributor)","2026-07-17T21:30:48.118464+00:00"
"neighborhoods/ae-fujairah/city-centre","City Centre","Fujairah","City Centre, Fujairah, United Arab Emirates","Lulu Mall Fujairah","lulu-mall-fujairah","shopping-dining","images/Neighborhood_POIs/ae-fujairah/city-centre/lulu-mall-fujairah.png","text-only","","2026-07-17T21:33:08.708677+00:00"
"neighborhoods/ae-fujairah/city-centre","City Centre","Fujairah","City Centre, Fujairah, United Arab Emirates","Fujairah Fort","fujairah-fort","culture-architecture","images/Neighborhood_POIs/ae-fujairah/city-centre/fujairah-fort.png","places-photo","Gil Meiri (Google Maps contributor)","2026-07-17T21:34:07.540221+00:00"
"neighborhoods/am-yerevan/cascade-district","Cascade District","Yerevan","Cascade District, Yerevan, Armenia","Yerevan Cascade","yerevan-cascade","anchor","images/Neighborhood_POIs/am-yerevan/cascade-district/yerevan-cascade.png","places-photo","SherryG (Google Maps contributor)","2026-07-17T21:38:41.349768+00:00"
"neighborhoods/am-yerevan/cascade-district","Cascade District","Yerevan","Cascade District, Yerevan, Armenia","Lovers' Park","lovers-park","outdoors","images/Neighborhood_POIs/am-yerevan/cascade-district/lovers-park.png","places-photo","Andreas Poltin (Google Maps contributor)","2026-07-17T21:39:55.827484+00:00"
"neighborhoods/am-yerevan/cascade-district","Cascade District","Yerevan","Cascade District, Yerevan, Armenia","Northern Avenue","northern-avenue","shopping-dining","images/Neighborhood_POIs/am-yerevan/cascade-district/northern-avenue.png","text-only","","2026-07-17T21:47:38.237575+00:00"
"neighborhoods/am-yerevan/cascade-district","Cascade District","Yerevan","Cascade District, Yerevan, Armenia","Armenian National Opera and Ballet Theatre","armenian-national-opera-and-ballet-theatre","culture-architecture","images/Neighborhood_POIs/am-yerevan/cascade-district/armenian-national-opera-and-ballet-theatre.png","places-photo","A G (Google Maps contributor)","2026-07-17T21:50:00.961188+00:00"
"neighborhoods/ao-lubango/city-center","city center","Lubango","city center, Lubango, Angola","Mercado Municipal do Lubango","mercado-municipal-do-lubango","anchor","images/Neighborhood_POIs/ao-lubango/city-center/mercado-municipal-do-lubango.png","text-only","","2026-07-17T22:05:54.635801+00:00"
"neighborhoods/ao-lubango/city-center","city center","Lubango","city center, Lubango, Angola","Parque Infantil do Lubango","parque-infantil-do-lubango","outdoors","images/Neighborhood_POIs/ao-lubango/city-center/parque-infantil-do-lubango.png","places-photo","Benone Marcos (Google Maps contributor)","2026-07-17T22:06:07.239720+00:00"
"neighborhoods/ao-lubango/city-center","city center","Lubango","city center, Lubango, Angola","Milenium Shopping Centre","milenium-shopping-centre","shopping-dining","images/Neighborhood_POIs/ao-lubango/city-center/milenium-shopping-centre.png","text-only","","2026-07-17T22:06:08.681734+00:00"
"neighborhoods/ao-lubango/city-center","city center","Lubango","city center, Lubango, Angola","Sé Catedral de São José","se-catedral-de-sao-jose","culture-architecture","images/Neighborhood_POIs/ao-lubango/city-center/se-catedral-de-sao-jose.png","places-photo","Gio DaBanda (Google Maps contributor)","2026-07-17T22:06:10.316531+00:00"
"neighborhoods/ar-concordia/city-centre","City Centre","Concordia","City Centre, Concordia, Argentina","Plaza 25 de Mayo","plaza-25-de-mayo","anchor","images/Neighborhood_POIs/ar-concordia/city-centre/plaza-25-de-mayo.png","places-photo","Robson Cardoso (Google Maps contributor)","2026-07-17T22:16:30.185040+00:00"
