"shard","parent_id","s3_prefix","neighborhood","city","region","country","country_code","destination","lat","lng","anchor_hint","why_fit"
"00","neighborhoods/ae-abu-dhabi/corniche","images/Neighborhood_POIs/ae-abu-dhabi/corniche/","Corniche","Abu Dhabi","","United Arab Emirates","AE","Corniche, Abu Dhabi, United Arab Emirates","24.4719602","54.3374924","Abu Dhabi Corniche Beach","Central waterfront upscale area"
"01","neighborhoods/ae-ajman-city/ajman-corniche","images/Neighborhood_POIs/ae-ajman-city/ajman-corniche/","Ajman Corniche","Ajman City","","United Arab Emirates","AE","Ajman Corniche, Ajman City, United Arab Emirates","25.4133829","55.4335872","Ajman Corniche Park","waterfront dining tourist area"
"02","neighborhoods/ae-ajman-city/al-rashidiya","images/Neighborhood_POIs/ae-ajman-city/al-rashidiya/","Al Rashidiya","Ajman City","","United Arab Emirates","AE","Al Rashidiya, Ajman City, United Arab Emirates","25.3978333","55.4326183","Al Rashidiya Shopping Center","central commercial waterfront district"
"03","neighborhoods/ae-al-ain-city/al-jimi","images/Neighborhood_POIs/ae-al-ain-city/al-jimi/","Al Jimi","Al Ain City","","United Arab Emirates","AE","Al Jimi, Al Ain City, United Arab Emirates","24.2433171","55.7265479","Al Jimi Mall","established retail and mall area"
"04","neighborhoods/ae-al-ain-city/central-district-al-ain-town","images/Neighborhood_POIs/ae-al-ain-city/central-district-al-ain-town/","Central District (Al Ain Town)","Al Ain City","","United Arab Emirates","AE","Central District (Al Ain Town), Al Ain City, United Arab Emirates","24.1629226","55.8089363","Al Ain Central Market","central commercial core"
"05","neighborhoods/ae-dubai-investments-park/city-centre","images/Neighborhood_POIs/ae-dubai-investments-park/city-centre/","City Centre","Dubai Investments Park","","United Arab Emirates","AE","City Centre, Dubai Investments Park, United Arab Emirates","25.00827","55.15682","Dubai Investments Park city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/ae-fujairah/city-centre","images/Neighborhood_POIs/ae-fujairah/city-centre/","City Centre","Fujairah","","United Arab Emirates","AE","City Centre, Fujairah, United Arab Emirates","25.11641","56.34141","Fujairah city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/ae-jebel-ali/city-centre","images/Neighborhood_POIs/ae-jebel-ali/city-centre/","City Centre","Jebel Ali","","United Arab Emirates","AE","City Centre, Jebel Ali, United Arab Emirates","25.00255","55.10811","Jebel Ali city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/ae-ras-al-khaimah-city/al-hamra","images/Neighborhood_POIs/ae-ras-al-khaimah-city/al-hamra/","Al Hamra","Ras Al Khaimah City","","United Arab Emirates","AE","Al Hamra, Ras Al Khaimah City, United Arab Emirates","25.6959352","55.7785092","Al Hamra Marina & Yacht Club","upscale waterfront resort district"
"09","neighborhoods/ae-ras-al-khaimah-city/al-nakheel","images/Neighborhood_POIs/ae-ras-al-khaimah-city/al-nakheel/","Al Nakheel","Ras Al Khaimah City","","United Arab Emirates","AE","Al Nakheel, Ras Al Khaimah City, United Arab Emirates","25.7945518","55.9450795","Ras Al Khaimah National Museum","central commercial business district"
"10","neighborhoods/af-baghlan/city-centre","images/Neighborhood_POIs/af-baghlan/city-centre/","City Centre","Baghlān","","Afghanistan","AF","City Centre, Baghlān, Afghanistan","36.13068","68.70829","Baghlān city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/af-balkh/city-centre","images/Neighborhood_POIs/af-balkh/city-centre/","City Centre","Balkh","","Afghanistan","AF","City Centre, Balkh, Afghanistan","36.75635","66.8972","Balkh city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/af-gardez/city-centre","images/Neighborhood_POIs/af-gardez/city-centre/","City Centre","Gardez","","Afghanistan","AF","City Centre, Gardez, Afghanistan","33.59744","69.22592","Gardez city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/af-ghazni/city-centre","images/Neighborhood_POIs/af-ghazni/city-centre/","City Centre","Ghazni","","Afghanistan","AF","City Centre, Ghazni, Afghanistan","33.55391","68.42096","Ghazni city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/af-herat/city-center","images/Neighborhood_POIs/af-herat/city-center/","city center","Herāt","","Afghanistan","AF","city center, Herāt, Afghanistan","34.3459994","62.1884571","Herat Citadel","central commercial area"
"15","neighborhoods/af-jalalabad/city-centre","images/Neighborhood_POIs/af-jalalabad/city-centre/","City Centre","Jalālābād","","Afghanistan","AF","City Centre, Jalālābād, Afghanistan","34.5313207","69.1691931","Jalalabad Clock Tower","Central urban district"
"16","neighborhoods/af-kabul/shahr-e-naw","images/Neighborhood_POIs/af-kabul/shahr-e-naw/","Shahr-e Naw","Kabul","","Afghanistan","AF","Shahr-e Naw, Kabul, Afghanistan","34.5331056","69.1682093","Shahr-e Naw Park","Central commercial shopping area"
"17","neighborhoods/af-kabul/wazir-akbar-khan","images/Neighborhood_POIs/af-kabul/wazir-akbar-khan/","Wazir Akbar Khan","Kabul","","Afghanistan","AF","Wazir Akbar Khan, Kabul, Afghanistan","34.5357075","69.1905501","Embassy of the United States, Wazir Akbar Khan","Affluent embassy diplomatic district"
"18","neighborhoods/af-kandahar/city-centre","images/Neighborhood_POIs/af-kandahar/city-centre/","City Centre","Kandahār","","Afghanistan","AF","City Centre, Kandahār, Afghanistan","31.61332","65.71013","Kandahār city center","Central urban district (auto-added, pop >=100k)"
