"parent_id","neighborhood","city","region","country","country_code","destination"
"neighborhoods/ae-abu-dhabi/corniche","Corniche","Abu Dhabi","","United Arab Emirates","AE","Corniche, Abu Dhabi, United Arab Emirates"
"neighborhoods/ae-ajman-city/ajman-corniche","Ajman Corniche","Ajman City","","United Arab Emirates","AE","Ajman Corniche, Ajman City, United Arab Emirates"
"neighborhoods/ae-ajman-city/al-rashidiya","Al Rashidiya","Ajman City","","United Arab Emirates","AE","Al Rashidiya, Ajman City, United Arab Emirates"
"neighborhoods/ae-al-ain-city/al-jimi","Al Jimi","Al Ain City","","United Arab Emirates","AE","Al Jimi, Al Ain City, United Arab Emirates"
"neighborhoods/ae-al-ain-city/central-district-al-ain-town","Central District (Al Ain Town)","Al Ain City","","United Arab Emirates","AE","Central District (Al Ain Town), Al Ain City, United Arab Emirates"
"neighborhoods/ae-dubai-investments-park/city-centre","City Centre","Dubai Investments Park","","United Arab Emirates","AE","City Centre, Dubai Investments Park, United Arab Emirates"
"neighborhoods/ae-fujairah/city-centre","City Centre","Fujairah","","United Arab Emirates","AE","City Centre, Fujairah, United Arab Emirates"
"neighborhoods/ae-jebel-ali/city-centre","City Centre","Jebel Ali","","United Arab Emirates","AE","City Centre, Jebel Ali, United Arab Emirates"
"neighborhoods/ae-ras-al-khaimah-city/al-hamra","Al Hamra","Ras Al Khaimah City","","United Arab Emirates","AE","Al Hamra, Ras Al Khaimah City, United Arab Emirates"
"neighborhoods/ae-ras-al-khaimah-city/al-nakheel","Al Nakheel","Ras Al Khaimah City","","United Arab Emirates","AE","Al Nakheel, Ras Al Khaimah City, United Arab Emirates"
"neighborhoods/af-baghlan/city-centre","City Centre","Baghlān","","Afghanistan","AF","City Centre, Baghlān, Afghanistan"
"neighborhoods/af-balkh/city-centre","City Centre","Balkh","","Afghanistan","AF","City Centre, Balkh, Afghanistan"
"neighborhoods/af-gardez/city-centre","City Centre","Gardez","","Afghanistan","AF","City Centre, Gardez, Afghanistan"
"neighborhoods/af-ghazni/city-centre","City Centre","Ghazni","","Afghanistan","AF","City Centre, Ghazni, Afghanistan"
"neighborhoods/af-herat/city-center","city center","Herāt","","Afghanistan","AF","city center, Herāt, Afghanistan"
"neighborhoods/af-jalalabad/city-centre","City Centre","Jalālābād","","Afghanistan","AF","City Centre, Jalālābād, Afghanistan"
"neighborhoods/af-kabul/shahr-e-naw","Shahr-e Naw","Kabul","","Afghanistan","AF","Shahr-e Naw, Kabul, Afghanistan"
